time,RegionName,value
2013-05-01,89034,260100.0
2013-05-01,89021,181900.0
2013-05-01,89439,284700.0
2013-05-01,89411,495300.0
2013-05-01,89124,209200.0
2013-05-01,89440,124900.0
2013-05-01,89413,1370100.0
2013-05-01,89155,235700.0
2013-06-01,89108,109100.0
2013-06-01,89121,109800.0
2013-06-01,89117,222800.0
2013-06-01,89052,298800.0
2013-06-01,89123,182900.0
2013-06-01,89031,135700.0
2013-06-01,89110,93500.0
2013-06-01,89074,192800.0
2013-06-01,89103,138700.0
2013-06-01,89148,197900.0
2013-06-01,89147,166400.0
2013-06-01,89119,127500.0
2013-06-01,89129,173000.0
2013-06-01,89122,116000.0
2013-06-01,89115,84500.0
2013-06-01,89502,135000.0
2013-06-01,89014,167400.0
2013-06-01,89131,207900.0
2013-06-01,89509,254000.0
2013-06-01,89436,219800.0
2013-06-01,89015,138400.0
2013-06-01,89128,171600.0
2013-06-01,89523,237700.0
2013-06-01,89104,96200.0
2013-06-01,89012,218500.0
2013-06-01,89431,118500.0
2013-06-01,89032,125400.0
2013-06-01,89506,138100.0
2013-06-01,89102,118200.0
2013-06-01,89139,179900.0
2013-06-01,89149,184100.0
2013-06-01,89178,190100.0
2013-06-01,89113,203500.0
2013-06-01,89521,256200.0
2013-06-01,89183,157100.0
2013-06-01,89135,293300.0
2013-06-01,89107,93900.0
2013-06-01,89511,422300.0
2013-06-01,89002,177600.0
2013-06-01,89130,162500.0
2013-06-01,89134,208100.0
2013-06-01,89503,159700.0
2013-06-01,89081,148800.0
2013-06-01,89141,203400.0
2013-06-01,89011,164000.0
2013-06-01,89142,107900.0
2013-06-01,89434,164000.0
2013-06-01,89145,139600.0
2013-06-01,89084,184600.0
2013-06-01,89701,158600.0
2013-06-01,89801,237500.0
2013-06-01,89120,149000.0
2013-06-01,89044,250600.0
2013-06-01,89156,111400.0
2013-06-01,89048,128400.0
2013-06-01,89118,159400.0
2013-06-01,89706,157800.0
2013-06-01,89166,192000.0
2013-06-01,89144,231000.0
2013-06-01,89146,197500.0
2013-06-01,89027,174700.0
2013-06-01,89433,139000.0
2013-06-01,89005,212200.0
2013-06-01,89138,290600.0
2013-06-01,89460,208500.0
2013-06-01,89423,273900.0
2013-06-01,89410,249600.0
2013-06-01,89815,242500.0
2013-06-01,89029,149000.0
2013-06-01,89109,181700.0
2013-06-01,89508,155300.0
2013-06-01,89703,242200.0
2013-06-01,89441,250300.0
2013-06-01,89060,88000.0
2013-06-01,89143,163500.0
2013-06-01,89519,368200.0
2013-06-01,89179,207100.0
2013-06-01,89061,125600.0
2013-06-01,89451,689300.0
2013-06-01,89501,183400.0
2013-06-01,89705,208100.0
2013-06-01,89510,268800.0
2013-06-01,89086,166900.0
2013-06-01,89448,475900.0
2013-06-01,89704,208500.0
2013-06-01,89449,274900.0
2013-06-01,89040,124000.0
2013-06-01,89444,219500.0
2013-06-01,89085,221200.0
2013-06-01,89034,262800.0
2013-06-01,89021,185300.0
2013-06-01,89439,294100.0
2013-06-01,89411,505100.0
2013-06-01,89124,210600.0
2013-06-01,89440,127600.0
2013-06-01,89413,1404200.0
2013-06-01,89155,241100.0
2013-07-01,89108,112900.0
2013-07-01,89121,113600.0
2013-07-01,89117,228000.0
2013-07-01,89052,305000.0
2013-07-01,89123,187600.0
2013-07-01,89031,139400.0
2013-07-01,89110,96800.0
2013-07-01,89074,197000.0
2013-07-01,89103,141500.0
2013-07-01,89148,202800.0
2013-07-01,89147,169600.0
2013-07-01,89119,131700.0
2013-07-01,89129,176900.0
2013-07-01,89122,121100.0
2013-07-01,89115,86900.0
2013-07-01,89502,136700.0
2013-07-01,89014,171100.0
2013-07-01,89131,211900.0
2013-07-01,89509,259300.0
2013-07-01,89436,224600.0
2013-07-01,89015,141800.0
2013-07-01,89128,175700.0
2013-07-01,89523,242100.0
2013-07-01,89104,98600.0
2013-07-01,89012,224400.0
2013-07-01,89030,62100.0
2013-07-01,89431,122000.0
2013-07-01,89032,128500.0
2013-07-01,89506,141600.0
2013-07-01,89102,122800.0
2013-07-01,89139,183200.0
2013-07-01,89149,187400.0
2013-07-01,89178,194300.0
2013-07-01,89113,208600.0
2013-07-01,89521,259700.0
2013-07-01,89183,160400.0
