,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName
63,2005-01-01,195.27,14901.27,3.39,5.3,37548,43081,1686.7924528301885,89502
64,2005-01-01,195.27,14901.27,3.39,5.3,20071,42616,3092.604006163328,89503
65,2005-01-01,195.27,14901.27,3.39,5.3,41934,44079,443.65213711383836,89506
66,2005-01-01,195.27,14901.27,3.39,5.3,31396,89106,3507.932960893855,89509
67,2005-01-01,195.27,14901.27,3.39,5.3,3060,106337,2.958665699782451,89510
68,2005-01-01,195.27,14901.27,3.39,5.3,24814,153672,166.4922168545357,89511
69,2005-01-01,195.27,14901.27,3.39,5.3,18687,29669,2966.190476190476,89512
70,2005-01-01,195.27,14901.27,3.39,5.3,12060,69071,1381.4432989690722,89002
71,2005-01-01,195.27,14901.27,3.39,5.3,13584,75942,110.95319774565057,89005
72,2005-01-01,195.27,14901.27,3.39,5.3,5700,251060,731.7073170731708,89519
73,2005-01-01,195.27,14901.27,3.39,5.3,18063,81648,235.56338028169012,89521
74,2005-01-01,195.27,14901.27,3.39,5.3,25406,58176,1348.5138004246285,89523
75,2005-01-01,195.27,14901.27,3.39,5.3,24650,84959,2244.990892531876,89012
76,2005-01-01,195.27,14901.27,3.39,5.3,6537,158876,384.52941176470586,89011
77,2005-01-01,195.27,14901.27,3.39,5.3,33549,57134,4425.98944591029,89014
78,2005-01-01,195.27,14901.27,3.39,5.3,58031,49801,1547.9061082955454,89015
79,2005-01-01,195.27,14901.27,3.39,5.3,8773,62205,297.49067480501867,89027
80,2005-01-01,195.27,14901.27,3.39,5.3,5202,50811,55.30512438868807,89029
81,2005-01-01,195.27,14901.27,3.39,5.3,47978,28544,5125.854700854701,89030
82,2005-01-01,195.27,14901.27,3.39,5.3,53727,46884,5649.526813880127,89031
83,2005-01-01,195.27,14901.27,3.39,5.3,34914,41915,3406.243902439024,89032
84,2005-01-01,195.27,14901.27,3.39,5.3,3171,50057,6.082286371919056,89040
85,2005-01-01,195.27,14901.27,3.39,5.3,6952,73728,221.6130060567421,89044
86,2005-01-01,195.27,14901.27,3.39,5.3,14333,47389,187.06604019838161,89048
87,2005-01-01,195.27,14901.27,3.39,5.3,40414,124994,778.3898305084746,89052
88,2005-01-01,195.27,14901.27,3.39,5.3,7820,45027,16.90628040211869,89060
89,2005-01-01,195.27,14901.27,3.39,5.3,3084,49555,42.40924092409241,89061
90,2005-01-01,195.27,14901.27,3.39,5.3,42831,76421,4769.599109131403,89074
91,2005-01-01,195.27,14901.27,3.39,5.3,17378,47091,2326.372155287818,89081
92,2005-01-01,195.27,14901.27,3.39,5.3,14173,59938,1296.7063129002745,89084
93,2005-01-01,195.27,14901.27,3.39,5.3,1618,62998,3111.5384615384614,89085
94,2005-01-01,195.27,14901.27,3.39,5.3,2657,47985,391.31075110456555,89086
95,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,31115,57348,5805.093657829439,89102
96,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,37801,43611,5642.005689147986,89103
97,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,36532,36281,6431.830501194169,89104
98,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,32104,61745,5879.901244745386,89107
99,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,57738,39151,6422.566927524809,89108
100,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,16505,128006,3725.837924042114,89109
101,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,66199,38670,5958.573066140218,89110
102,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,16957,139583,1522.1881296623912,89113
103,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,48702,32058,1947.308065941484,89115
104,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,47190,93706,5174.433924055325,89117
105,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,14843,62122,1402.9360878655973,89118
106,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,37212,50489,2877.9686869755683,89119
107,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,20384,72525,2928.7639267704676,89120
108,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,53211,41150,5783.9002228658555,89121
109,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,32683,38962,3599.551773919324,89122
110,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,56353,57124,5286.439210584363,89123
