,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName,SizeRank,City,Metro,CountyName,value
45,2005-01-01,195.27,14901.27,3.39,5.3,11528,56316,18.312946783161237,89815,7509,Spring Creek,Elko,Elko,209900.0
46,2005-01-01,195.27,14901.27,3.39,5.3,12722,49778,63.105158730158735,89403,6347,Dayton,Fernley,Lyon,242600.0
47,2005-01-01,195.27,14901.27,3.39,5.3,17428,49377,117.4235278264385,89408,5360,Fernley,Fernley,Lyon,344900.0
48,2005-01-01,195.27,14901.27,3.39,5.3,10501,58775,60.360981778467554,89410,7410,Gardnerville,Gardnerville Ranchos,Douglas,349100.0
49,2005-01-01,195.27,14901.27,3.39,5.3,338,1070282,21.405953134895505,89413,14712,Glenbrook,Gardnerville Ranchos,Douglas,1754500.0
50,2005-01-01,195.27,14901.27,3.39,5.3,11248,73286,162.40254114929252,89423,7340,Minden,Gardnerville Ranchos,Douglas,407200.0
51,2005-01-01,195.27,14901.27,3.39,5.3,6131,35801,36.392236006410634,89429,9111,Silver Springs,Fernley,Lyon,878200.0
52,2005-01-01,195.27,14901.27,3.39,5.3,31177,35601,3224.0951396070323,89431,2061,Sparks,Reno,Washoe,219700.0
53,2005-01-01,195.27,14901.27,3.39,5.3,17949,33759,1155.7630392788153,89433,6448,Sun Valley,Reno,Washoe,242600.0
54,2005-01-01,195.27,14901.27,3.39,5.3,22671,49832,757.720588235294,89434,4076,Sparks,Reno,Washoe,277800.0
55,2005-01-01,195.27,14901.27,3.39,5.3,35403,66990,868.5721295387635,89436,1605,Sparks,Reno,Washoe,343900.0
56,2005-01-01,195.27,14901.27,3.39,5.3,1571,108765,107.75034293552812,89439,13716,Verdi-Mogul,Reno,Washoe,437000.0
57,2005-01-01,195.27,14901.27,3.39,5.3,4484,72283,108.04819277108433,89441,8070,Sparks,Reno,Washoe,353000.0
58,2005-01-01,195.27,14901.27,3.39,5.3,2413,53437,8.155884539985127,89444,12104,Wellington,Gardnerville Ranchos,Douglas,319800.0
59,2005-01-01,195.27,14901.27,3.39,5.3,6981,41976,9.152649037011786,89447,8933,Yerington,Fernley,Lyon,335400.0
60,2005-01-01,195.27,14901.27,3.39,5.3,3380,330235,133.59683794466403,89451,10516,Incline Village,Reno,Washoe,878200.0
61,2005-01-01,195.27,14901.27,3.39,5.3,10839,63369,199.94465965688988,89460,7326,Gardnerville,Gardnerville Ranchos,Douglas,301200.0
62,2005-01-01,195.27,14901.27,3.39,5.3,4150,50769,6587.3015873015875,89501,10635,Reno,Reno,Washoe,258400.0
63,2005-01-01,195.27,14901.27,3.39,5.3,37548,43081,1686.7924528301885,89502,823,Reno,Reno,Washoe,242000.0
64,2005-01-01,195.27,14901.27,3.39,5.3,20071,42616,3092.604006163328,89503,3250,Reno,Reno,Washoe,269000.0
65,2005-01-01,195.27,14901.27,3.39,5.3,41934,44079,443.65213711383836,89506,2105,Reno,Reno,Washoe,248200.0
66,2005-01-01,195.27,14901.27,3.39,5.3,31396,89106,3507.932960893855,89509,1457,Reno,Reno,Washoe,410900.0
67,2005-01-01,195.27,14901.27,3.39,5.3,3060,106337,2.958665699782451,89510,10877,Sparks,Reno,Washoe,393900.0
68,2005-01-01,195.27,14901.27,3.39,5.3,24814,153672,166.4922168545357,89511,3010,Reno,Reno,Washoe,666100.0
69,2005-01-01,195.27,14901.27,3.39,5.3,18687,29669,2966.190476190476,89512,4224,Reno,Reno,Washoe,251300.0
70,2005-01-01,195.27,14901.27,3.39,5.3,12060,69071,1381.4432989690722,89002,3042,Henderson,Las Vegas,Clark,328900.0
71,2005-01-01,195.27,14901.27,3.39,5.3,13584,75942,110.95319774565057,89005,6533,Boulder City,Las Vegas,Clark,320700.0
72,2005-01-01,195.27,14901.27,3.39,5.3,5700,251060,731.7073170731708,89519,8568,Reno,Reno,Washoe,595300.0
73,2005-01-01,195.27,14901.27,3.39,5.3,18063,81648,235.56338028169012,89521,2607,Reno,Reno,Washoe,355900.0
74,2005-01-01,195.27,14901.27,3.39,5.3,25406,58176,1348.5138004246285,89523,1945,Reno,Reno,Washoe,366200.0
75,2005-01-01,195.27,14901.27,3.39,5.3,24650,84959,2244.990892531876,89012,1985,Henderson,Las Vegas,Clark,382500.0
76,2005-01-01,195.27,14901.27,3.39,5.3,6537,158876,384.52941176470586,89011,3764,Henderson,Las Vegas,Clark,283900.0
77,2005-01-01,195.27,14901.27,3.39,5.3,33549,57134,4425.98944591029,89014,1373,Henderson,Las Vegas,Clark,318300.0
78,2005-01-01,195.27,14901.27,3.39,5.3,58031,49801,1547.9061082955454,89015,1754,Henderson,Las Vegas,Clark,259200.0
79,2005-01-01,195.27,14901.27,3.39,5.3,8773,62205,297.49067480501867,89027,6027,Mesquite,Las Vegas,Clark,214100.0
80,2005-01-01,195.27,14901.27,3.39,5.3,5202,50811,55.30512438868807,89029,7788,Laughlin,Las Vegas,Clark,209900.0
81,2005-01-01,195.27,14901.27,3.39,5.3,47978,28544,5125.854700854701,89030,1999,North Las Vegas,Las Vegas,Clark,219700.0
82,2005-01-01,195.27,14901.27,3.39,5.3,53727,46884,5649.526813880127,89031,353,North Las Vegas,Las Vegas,Clark,276800.0
83,2005-01-01,195.27,14901.27,3.39,5.3,34914,41915,3406.243902439024,89032,2088,North Las Vegas,Las Vegas,Clark,253100.0
84,2005-01-01,195.27,14901.27,3.39,5.3,3171,50057,6.082286371919056,89040,12016,Overton,Las Vegas,Clark,189300.0
85,2005-01-01,195.27,14901.27,3.39,5.3,6952,73728,221.6130060567421,89044,4804,Henderson,Las Vegas,Clark,394900.0
86,2005-01-01,195.27,14901.27,3.39,5.3,14333,47389,187.06604019838161,89048,5220,Pahrump,Pahrump,Nye,305300.0
87,2005-01-01,195.27,14901.27,3.39,5.3,40414,124994,778.3898305084746,89052,263,Henderson,Las Vegas,Clark,482100.0
88,2005-01-01,195.27,14901.27,3.39,5.3,7820,45027,16.90628040211869,89060,8294,Pahrump,Pahrump,Nye,318400.0
89,2005-01-01,195.27,14901.27,3.39,5.3,3084,49555,42.40924092409241,89061,10140,Pahrump,Pahrump,Nye,878200.0
90,2005-01-01,195.27,14901.27,3.39,5.3,42831,76421,4769.599109131403,89074,485,Henderson,Las Vegas,Clark,350800.0
91,2005-01-01,195.27,14901.27,3.39,5.3,17378,47091,2326.372155287818,89081,3293,North Las Vegas,Las Vegas,Clark,275300.0
92,2005-01-01,195.27,14901.27,3.39,5.3,14173,59938,1296.7063129002745,89084,4372,North Las Vegas,Las Vegas,Clark,342800.0
93,2005-01-01,195.27,14901.27,3.39,5.3,1618,62998,3111.5384615384614,89085,12365,North Las Vegas,Las Vegas,Clark,382700.0
94,2005-01-01,195.27,14901.27,3.39,5.3,2657,47985,391.31075110456555,89086,10891,North Las Vegas,Las Vegas,Clark,313700.0
95,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,31115,57348,5805.093657829439,89102,2135,Las Vegas,Las Vegas,Clark,219100.0
96,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,37801,43611,5642.005689147986,89103,486,Las Vegas,Las Vegas,Clark,256000.0
97,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,36532,36281,6431.830501194169,89104,1961,Las Vegas,Las Vegas,Clark,201200.0
98,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,32104,61745,5879.901244745386,89107,2935,Las Vegas,Las Vegas,Clark,199200.0
99,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,57738,39151,6422.566927524809,89108,116,Las Vegas,Las Vegas,Clark,221700.0
100,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,16505,128006,3725.837924042114,89109,7984,Las Vegas,Las Vegas,Clark,262700.0
101,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,66199,38670,5958.573066140218,89110,434,Las Vegas,Las Vegas,Clark,198800.0
102,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,16957,139583,1522.1881296623912,89113,2565,Las Vegas,Las Vegas,Clark,361400.0
103,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,48702,32058,1947.308065941484,89115,816,Las Vegas,Las Vegas,Clark,185300.0
104,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,47190,93706,5174.433924055325,89117,196,Las Vegas,Las Vegas,Clark,398700.0
105,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,14843,62122,1402.9360878655973,89118,5333,Las Vegas,Las Vegas,Clark,309400.0
106,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,37212,50489,2877.9686869755683,89119,694,Las Vegas,Las Vegas,Clark,244900.0
107,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,20384,72525,2928.7639267704676,89120,4786,Las Vegas,Las Vegas,Clark,277400.0
108,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,53211,41150,5783.9002228658555,89121,174,Las Vegas,Las Vegas,Clark,216900.0
109,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,32683,38962,3599.551773919324,89122,770,Las Vegas,Las Vegas,Clark,238900.0
110,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,56353,57124,5286.439210584363,89123,310,Las Vegas,Las Vegas,Clark,345900.0
111,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,1166,98403,0.8565964632162988,89124,14329,Mount Charleston,Las Vegas,Clark,375200.0
112,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,31530,57187,5255.071682619643,89128,1796,Las Vegas,Las Vegas,Clark,322600.0
113,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,43310,66458,4326.75121616746,89129,724,Las Vegas,Las Vegas,Clark,334700.0
114,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,28600,54922,3738.6397751674895,89130,3099,Las Vegas,Las Vegas,Clark,316500.0
115,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,35106,80240,2190.057677211105,89131,1426,Las Vegas,Las Vegas,Clark,394800.0
116,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,23314,158300,3516.5019074300676,89134,3140,Las Vegas,Las Vegas,Clark,360400.0
117,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17902,161616,392.68265505721655,89135,2843,Las Vegas,Las Vegas,Clark,466500.0
